year,region,population,gdp_usd,country,population_urbaine,taux_croissance_pop,inflation,taux_chomage,exportations,esperance_vie,alphabetisation,scolarisation_primaire,nb_participants_olympiques,pop_growth_pct,gdp_growth_pct,school_to_literacy_ratio,health_index,gdp_per_capita
2012,Ouémé,1660621,1779398306.347524,Benin,4587966,2.96766540040992,109.6313139516,2.406,2662421032.36803,58.559,32.9488182067871,123.163383483887,0,2.90179899268308,4.0782725938179665,3.7380212762385714,58.559,1071.5258366282999
2013,Ouémé,1714839,2004521595.3928847,Benin,4780638,2.94885160135819,110.101510475881,2.099,3451240666.46384,58.863,,124.061050415039,0,3.2649231823516534,12.651652428930271,,58.863,1168.9269927922592
2014,Ouémé,1764646,2125338207.2150645,Benin,4981812,2.9550187594558,109.497320123437,1.872,4175438841.58641,59.008,,124.522239685059,0,2.904470915345403,6.02720430150816,,59.008,1204.3991867009386
2015,Ouémé,1820340,1824743163.6243656,Benin,5191263,2.95391627666724,109.736884846516,1.82,2815204783.04203,59.123,,127.121139526367,0,3.1561004303412687,-14.14339809872347,,59.123,1002.41886879614
2016,Ouémé,1870607,1890311779.9676821,Benin,5407795,2.92460216679542,108.86633100536,1.784,3263416597.90044,59.283,,125.554527282715,0,2.7614072096421527,3.5933065896836647,,59.283,1010.533896199299
2017,Ouémé,1926482,2032388576.8737261,Benin,5630764,2.88117869411855,108.913431866169,1.659,3455561017.58914,59.528,38.871208190918,121.606216430664,0,2.986998337972646,7.516050971680088,3.128439327982517,59.528,1054.9740806681434
2018,Ouémé,1979412,2279769897.596894,Benin,5858809,2.8136418840483,109.914532239727,1.41,3889962074.25631,59.71,,117.116798400879,0,2.7474951751430776,12.171949967544894,,59.71,1151.740970347201
2019,Ouémé,2034981,2301199968.559109,Benin,6091152,2.73538842831436,110.720040198149,1.214,4264332526.72108,59.888,,112.029891967773,0,2.807348849052138,0.9400102608954075,,59.888,1130.8213533979479
2020,Ouémé,2092158,2510996035.8171573,Benin,6327922,2.66259875153288,114.066798322144,1.502,3117343143.85166,60.154,,109.148918151855,0,2.8097068228155386,9.11681166888818,,60.154,1200.1942663112238
2021,Ouémé,2143124,2826033851.0394936,Benin,6568819,2.59230167510348,116.04419147224,1.779,3700039684.26428,59.61,43.834171295166,110.70588684082,0,2.436049284996633,12.546328657178197,2.525561304566708,59.61,1318.6515810748672
2022,Ouémé,2200583,2786877968.5905213,Benin,6815631,2.54740926342667,117.611691618775,1.685,3627155580.31394,60.475,47.0999984741211,113.04891204834,0,2.6810861154090926,-1.3855418764559202,2.400189293221618,60.475,1266.4271098115914
2023,Ouémé,2258290,3148457889.2670846,Benin,7069628,2.52274772277722,120.832723939286,1.657,3935350520.19623,60.774,,,0,2.6223505316545603,12.974372209753927,,60.774,1394.1778466304524
2000,Zou,1226088,597624890.6615227,Benin,2768263,3.07665265205002,74.3319475815406,0.864,725304886.00806,56.594,,80.111213684082,0,,,,56.594,487.4241413842422
2001,Zou,1266048,623403933.6504619,Benin,2877723,3.05435506649292,77.2935520075027,0.765,728426333.669514,56.654,,87.4075012207031,0,3.2591461624287943,4.313582548478512,,56.654,492.40149950907227
2002,Zou,1304101,712644026.721034,Benin,2996179,3.04010801597376,79.2175140068504,0.69,827401656.41962,56.851,35.0,92.6105804443359,0,3.0056522343544723,14.314971121213427,2.6460165841238825,56.851,546.4638296581584
2003,Zou,1346768,910419044.1118125,Benin,3128511,3.04920259714654,80.3956705120688,0.747,997331579.809427,57.092,,96.3288879394531,0,3.271755791921027,27.752287253534757,,57.092,676.0028780842821
2004,Zou,1387714,1052852788.6556005,Benin,3266820,3.06173106096489,81.0982409050891,0.79,1146038651.35219,57.346,,100.354598999023,0,3.0403157782186607,15.64485557117752,,57.346,758.6958037863714
2005,Zou,1432543,1116578132.4559994,Benin,3416212,3.22061199704122,85.448772954176,0.86,1213941696.92857,57.738,,97.6395721435547,0,3.230420677459467,6.052635704348597,,57.738,779.4377777532677
2006,Zou,1476614,1194797895.3217,Benin,3568489,3.12066888297415,88.6805967620689,0.889,1270214595.80969,57.966,28.7021102905273,97.9188232421875,0,3.0764172523966016,7.005310295093303,3.4115548386873886,57.966,809.1470725062204
2007,Zou,1523138,1389617053.1459565,Benin,3721090,2.95509554727715,89.8317313290945,0.902,1800691335.95807,58.249,,,0,3.150721854188032,16.305616086794437,,58.249,912.3382471883418
2008,Zou,1569492,1664607209.5900793,Benin,3882323,3.01959398464251,96.9709273997076,0.894,2167074921.86083,58.099,,110.888137817383,0,3.0433224041419793,19.788916365236897,,58.099,1060.6025450209872
2009,Zou,1616111,1655063765.595509,Benin,4049112,2.99903642214246,97.8398570732499,0.949,1940710262.92026,58.258,,116.08260345459,0,2.9703241558415083,-0.5733150703414513,,58.258,1024.102778581118
2010,Zou,1666699,1622105226.45012,Benin,4222030,2.98424162798508,100.0,1.04,2199999385.40112,58.387,,117.383979797363,0,3.1302305349075743,-1.9913757904989393,,58.387,973.2442549315263
2011,Zou,1715627,1817558556.6418972,Benin,4401627,2.97782202797765,102.704239077473,2.647,2229520238.43142,58.462,,119.239990234375,0,2.935623048912861,12.049361965223127,,58.462,1059.4135885258843
